"belgradeblockchainweek.com event submissions page). Twitter: @ethbelgrade. LinkedIn: eth-belgrade.",https://ethbelgrade.rs/,https://confirmed.events/event/evt-ull56vzzdohu,"https://ethbelgrade.rs/ | https://belgradeblockchainweek.com/ | https://belgradeblockchainweek.com/events | https://taikai.network/en/ethbelgrade/hackathons/eth-belgrade-hackathon-3/overview | https://web3voyager.com/event/eth-belgrade-2026 | https://www.linkedin.com/posts/eth-belgrade_hey-hackers-the-hackathon-prize-pool-activity-7181985918847705089-vM_b",42,"Email petar@ethbelgrade.rs introducing Mobula as a data/DeFi API sponsor interested in the 2027 hackathon bounty track. Reference the 2026 edition as context. Ask for 2027 sponsor deck when available. Monitor @ethbelgrade on X for 2027 announcement.","2026 edition is in 7 days - impossible window for sponsorship. Reach out to petar@ethbelgrade.rs now to get on their 2027 radar."
Hack the North 2026 (University of Waterloo),2026-09-18,2026-09-20,"Waterloo, Ontario",Canada,hackathon,student,Confirmed,"Tiered sponsorship with company-defined bounty challenges. In 2025, sponsors posted API/product challenges with cash prizes ranging $500-$10,000. Companies define their own challenge, supply mentors on-site, and judge their track.","2000-10000 USD (based on 2025 sponsor challenge prize ranges: $500-$10,000 per challenge)",Yes,"sponsor@hackthenorth.com (sponsorship inquiries); hello@hackthenorth.com (general). Mahek Pandey joined as Sponsorship Coordinator in Feb 2026 (LinkedIn).",https://hackthenorth.com/,https://apply.hackthenorth.com/application,"https://www.facebook.com/hackthenorth/posts/were-back-for-a-more-adventurous-iteration-mark-your-calendars | https://hackthenorth2025.devpost.com/ | https://hackthenorth.com/",40,"Low priority for Mobula given student-only audience, Canada location, and non-DeFi primary focus. If pursuing, email sponsor@hackthenorth.com immediately as the event is 30 days out.","URGENT. Event is Sep 18-20, 2026 (30 days away). Sponsor slots are likely filling or already closed. Contact sponsor@hackthenorth.com immediately if pursuing."
ETHConf 2027 / ETHGlobal New York 2027,2027-06-01,2027-06-30,"New York City",USA,Conference + Hackathon (separate events co-located historically),pro,Likely,"ETHConf 2027: tiered conference sponsor (Ruby $10K, Gold $15-22.5K, Platinum $24-36K, Diamond $45-67.5K) - no bounty/challenge track. ETHGlobal NY hackathon (2027 not yet announced): sponsor defines own challenge + judges it, bounty range $10K-$20K per 2026 data.","Conference sponsor: $10,000 (Ruby) to $67,500 (Diamond). Hackathon bounty (2026 precedent): $10,000-$20,000 per sponsor challenge.",Yes,"ETHConf sponsorship: [email protected] | General: [email protected]",https://ethconf.com/2027,https://ethconf.com/2027,"https://ethconf.com/, https://ethconf.com/2027, https://ethconf.com/sponsor2027, https://ethglobal.com/events/newyork2026, https://ethglobal.com/events",38,"Monitor ethglobal.com/events for ETHGlobal New York 2027 announcement (likely Q4 2026). Contact [email protected] to ask if a concurrent hackathon is planned for June 2027 and if bounty sponsor slots will be available. ETHConf conference-only sponsorship at $10K-$67K is above Mobula's 2-10K budget and offers no bounty/jury model - skip unless brand awareness only.","ETHConf conference sponsor deposit deadline was August 15, 2026 (post-discount now applies). ETHGlobal hackathon sponsor applications typically open 3-4 months before event - expect announcement Q1 2027."
European Blockchain Convention 12 (EBC12),2026-09-16,2026-09-17,Barcelona,Spain,Conference with hackathon component,pro,Likely,"Tiered conference sponsorship (Platinum/Diamond/Gold/Silver/Bronze) + hackathon sponsorship via separate arrangement. Previous edition had single title hackathon sponsor (Radix). No self-serve 'submit a challenge' track confirmed for EBC12.",N/A - conference sponsor tier pricing not disclosed publicly.,Possible,"Victoria Gago (sponsorship contact) - meeting via HubSpot: https://share-eu1.hsforms.com/1w3WFO7DuRpCz6g7UvAryKw2b2y1g | Contact form: https://eblockchainconvention.com/contact-us-ebc12/ | Twitter: @EBlockchainCon",https://eblockchainconvention.com/european-blockchain-convention-12/,https://eblockchainconvention.com/european-blockchain-convention-12/,"https://eblockchainconvention.com/european-blockchain-convention-12/ | https://ebc-hackathon.devpost.com/ | https://eblockchainconvention.com/hackathon/ | https://en.cryptonomist.ch/2026/07/30/european-blockchain-convention-2026/ | https://www.techbarcelona.com/en/event/european-blockchain-convention-hackathon/",38,"CONTACT IMMEDIATELY via Victoria Gago's HubSpot meeting link (https://share-eu1.hsforms.com/1w3WFO7DuRpCz6g7UvAryKw2b2y1g) or @EBlockchainCon on Twitter. Ask: (1) Is there a dedicated hackathon planned for EBC12? (2) Can Mobula sponsor a DeFi data challenge with our own prize pool and jury seat? (3) What is the hackathon sponsorship fee?","VERY URGENT - event is 28 days away (Aug 19 to Sept 16). If a hackathon is being organized for EBC12, sponsorship decisions would be finalizing now. Must contact immediately or the window is closed."
Istanbul Blockchain Week - IstanHack,2027-06-01,2027-06-02,Istanbul,Turkey,in-person,mixed,Likely,"Tiered sponsor model via EAK Digital; sponsor form at istanbulblockchainweek.com/sponsor-form/; IstanHack bounty-sponsor structure not publicly detailed - must request via form. No public 'submit a challenge' page found; direct outreach required.","Not publicly disclosed; estimated 2,000-5,000 USD for a bounty sponsor slot based on comparable events at this scale",Unverified,"contact@istanbulblockchainweek.com (confirmed from search snippets); partnership form: https://istanbulblockchainweek.com/partnership/; sponsor form: https://istanbulblockchainweek.com/sponsor-form/; organizer: EAK Digital",https://istanbulblockchainweek.com/istanhack/,https://istanbulblockchainweek.com/istanhack-developer-application/,"https://istanbulblockchainweek.com/istanhack/, https://web3voyager.com/web3-hackathons-to-join-in-june-2026/, https://news.bitcoin.com/istanbul-blockchain-week-returns-in-june-2026-amid-surging-crypto-adoption-in-turkiye/, https://luma.com/istanbul-blockchain-week, https://istanbulblockchainweek.com/sponsor-form/",38,"Monitor for IBW 2027 announcement (expected Q4 2026). If Mobula wants to sponsor IstanHack 2027, contact contact@istanbulblockchainweek.com early (Q1 2027) as sponsor slots fill. Request sponsor deck to confirm bounty/challenge tier availability.","No deadline - 2027 edition not yet announced. Watch Twitter @IstanbulBlockWk for announcement, typically Q1 of event year."
Common S3nse Amsterdam (ex-ETHDam),2026-09-04,2026-09-05,Amsterdam,Netherlands,Hackathon + Conference,mixed,Confirmed,"Partnership deck available on request (via Telegram @blockblanc or hello@cryptocanal.org). Tiered model includes media, community, and standard partnership tiers. 'Buoy Bundle' at EUR 5,000 includes 10 tickets + branding. Bounty/challenge sponsor model carried over from ETHDam but not explicitly confirmed for 2026 edition on TAIKAI prizes page.","EUR 5,000 (Buoy Bundle: 10 tickets + branding). Specific bounty sponsor tier pricing requires requesting the partnership deck.",Likely,"hello@cryptocanal.org | Telegram: @blockblanc (partnership deck requests)",https://commons3nse.cryptocanal.org/,https://luma.com/commons3nse,"https://commons3nse.cryptocanal.org/ | https://luma.com/commons3nse | https://taikai.network/en/cryptocanal/hackathons/commons3nse/timeline | https://crypto.news/event/common-s3nse-amsterdam-2026/ | https://www.fxstreet.com/press-releases/common-s3nse-joins-cypherpunk-week-in-amsterdam-this-september-202605071326",38,"Low priority given poor thematic fit (privacy/cypherpunk vs DeFi/data). If pursuing: contact hello@cryptocanal.org or Telegram @blockblanc TODAY to request sponsor deck and ask if a bounty challenge slot is still available. Budget entry point EUR 5,000 (Buoy Bundle).","CRITICAL - event is 16 days away (Sept 4, 2026). Sponsor onboarding window is almost certainly closing. Contact @blockblanc immediately if pursuing."
Solana Breakpoint 2026,2026-11-15,2026-11-17,London,UK,Conference with adjacent builder residency (Hacker House Nov 1-14),pro,Likely,"Platinum/Gold conference tiers only. No public bounty/challenge tier found. Contact required to explore custom track. Sponsor form: solanafoundation.typeform.com/bp26sponsorform",N/A - Sponsor tiers: Platinum and Gold (pricing not public contact required),No,"breakpoint@solana.org (main conference); events@solana.org (Hacker House / side events)",https://solana.com/breakpoint,https://luma.com/breakpoint2026,"https://solana.com/breakpoint | https://luma.com/breakpoint2026 | https://solana.com/breakpoint/sponsors | https://solanacompass.com/news/solana-breakpoint-2026-comes-to-london-for-the-first-time-november-15-17-at-olympia | https://x.com/solana_devs/status/2052855644122726795 | https://luma.com/london-hh-26",38,"LOW PRIORITY for Mobula. The event is a conference, not a hackathon. No bounty/challenge sponsor model exists publicly. If pursuing: (1) email breakpoint@solana.org to ask whether a Mobula-sponsored challenge track can be added alongside the Hacker House; (2) fill sponsor Typeform to explore custom arrangements.","Sponsor form live now. Event is 3 months out (Nov 15). Breakpoint 2025 sponsors reportedly sold out early - apply soon if interested."
Arbitrum Open House - Singapore 2026,2026-09-14,2026-11-07,"Singapore (online buildathon global)",Singapore,Buildathon (3-week online) + In-person Founder House (3 days ~early Nov 2026),pro,Confirmed,"Closed ecosystem sponsor model. Only Arbitrum Foundation and Robinhood Chain confirmed as prize co-sponsors. No public 'add a bounty' or 'submit a challenge' track for external parties. Tiered sponsor deck not publicly available.","$415K total (Arbitrum Foundation + Robinhood Chain). Buildathon: $115K. External sponsor bounty range: not applicable.",Unlikely,"partnerships@offchainlabs.com (Offchain Labs / Arbitrum Foundation partnerships)",https://blog.arbitrum.foundation/open-house-singapore-applications-are-now-open/,https://arbitrum-singapore.hackquest.io/,"https://blog.arbitrum.foundation/open-house-singapore-applications-are-now-open/ | https://blog.arbitrum.foundation/builders-block-023-415k-in-prizes-at-open-house-singapore-apply-now/ | https://egamers.io/singapore-is-next-for-arbitrums-open-house-115k-buildathon-kicks-off-sept-14/ | https://x.com/RobinhoodApp/status/2021600209524969824 | https://openhouse.arbitrum.io/",38,"Contact partnerships@offchainlabs.com immediately and ask: (1) Is there an external bounty/challenge track for Singapore? (2) What is the sponsor tier model and minimum budget? (3) Can a sponsor define and judge their own challenge?","HIGH - Buildathon starts September 14, 2026 (26 days away). Any sponsor negotiation must happen immediately. Registration for builders is open now at arbitrum-singapore.hackquest.io."
ETHSilesia 2027,2027-04-01,2027-04-30,Katowice,Poland,hackathon+conference,mixed,Unverified,"Tiered bounty sponsor model confirmed for 2026 (each sponsor defines + judges their own challenge track). Sponsor deck is password-protected at ethsilesia.pl/sponsorship. 2027 edition not yet announced.","2,000-10,000 EUR (sponsor-defined bounty track; 2026 tracks ranged ~250-2,500 EUR equivalent)",Yes,"No public email found. Reach via @ETHWarsaw on X or ETHWarsaw Substack (ethwarsaw.substack.com). Sponsorship deck gated at ethsilesia.pl/sponsorship.",https://ethsilesia.pl/,https://luma.com/ethsilesiahackathon,"https://ethsilesia.pl/ | https://luma.com/ethsilesiahackathon | https://x.com/ETHWarsaw/status/2047250341859651835 | https://ethwarsaw.substack.com/p/ethsilesia-2026-where-blockchain",38,"Watch @ETHWarsaw on X and ethwarsaw.substack.com for 2027 edition announcement. When announced, contact via sponsor deck request at ethsilesia.pl/sponsorship. Propose a data/API challenge track in the 3,000-5,000 PLN range.","No deadline. 2027 edition not announced. Monitor @ETHWarsaw for call for sponsors, likely Q1 2027."
Colosseum Solana Fall Hackathon 2026,2026-09-28,2026-11-02,Online,"Global (online)",online hackathon,pro,Likely,"Anchor sponsor branding model only. Colosseum explicitly removed all tracks and bounties from their 2026 Frontier edition. Sponsors receive ecosystem visibility/branding but cannot define or judge their own challenge. No 'bounty sponsor' or 'submit a challenge' option found.","Unknown for autumn edition. Frontier 2026: $30K grand champion + $10K x 20 runners-up + $2.5M accelerator funding deployed to winners.",No,"No direct sponsor contact email found. Generic contact form at colosseum.com. Twitter: @colosseum. Outreach path: colosseum.com contact form or Twitter DM.",https://colosseum.com/hackathon,https://colosseum.com/hackathon,"https://blog.colosseum.com/2026-hackathons-updraft-course-offline-signer-cli/ | https://colosseum.com/hackathon | https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/ | https://colosseum.com/frontier | https://solanacompass.com/news/colosseum-announces-26-winners-of-the-solana-frontier-hackathon-the-largest-crypto-hackathon-ever",34,"PASS - Sponsor model is incompatible. Colosseum removed all tracks and bounties; sponsors are branding-only anchor partners. Mobula cannot define a challenge or sit on the jury. If reconsidering, contact via colosseum.com form to ask whether the fall edition will restore any bounty/protocol challenge tracks before committing budget.","No known sponsor application deadline. Fall hackathon starts Sep 28 2026, giving ~5 weeks. Contact needed soon to assess anchor sponsor availability."
HackMoney 2026,2026-01-30,2026-02-11,Online,"Global (online)",Online hackathon,pro,No hackathon,"Bounty sponsor tier: each sponsor defines own DeFi challenge and judges independently. Sponsorship via ethglobal.com/events/hackmoney2026/sponsor. Budget options start at under $15K.","$5,000-$15,000 per sponsor bounty (Yellow $15K top, ENS $5K floor in 2026 edition). Total pool $75K+.",Yes,"Sponsorship contact form only: ethglobal.com/events/hackmoney2026/sponsor - no named contact or direct email publicly listed.",https://ethglobal.com/events/hackmoney2026,https://ethglobal.com/events/hackmoney2026/apply,"https://ethglobal.com/events/hackmoney2026, https://ethglobal.com/events/hackmoney2026/sponsor, https://ethglobal.com/events, https://ethglobal.com/events/ethonline2026/home",30,"Monitor ethglobal.com/events and @ETHGlobal on X for HackMoney 2027 announcement (expected Q4 2026). When announced, submit sponsorship form immediately - sponsor slots fill fast. Budget $5K-$15K. In the meantime, consider ETHOnline 2026 (Sept 4-16 2026) as a near-term ETHGlobal DeFi bounty opportunity.","None - 2026 edition closed Feb 8 2026. No 2027 edition announced. Watch ethglobal.com/events for HackMoney 2027 announcement, likely Q4 2026."
